,seller_id,buyer_id,product_id,product_price,sold_quantity,quantity_cluster,price_cluster,cluster,order_id
4914,4867,1717,4103,85.0,52.0,dull-product,middle-end,dull-product;middle-end,4867-1717
4915,4867,1719,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-1719
4916,4867,1731,3794,100.0,432.0,well-seller,middle-end,well-seller;middle-end,4867-1731
4917,4867,1731,4108,80.0,105.0,normal-product,middle-end,normal-product;middle-end,4867-1731
4918,4867,1731,4960,80.0,3543.0,best-seller,middle-end,best-seller;middle-end,4867-1731
4919,4867,1731,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-1731
4920,4867,1789,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-1789
4921,4867,1825,1045,110.0,311.0,well-seller,middle-end,well-seller;middle-end,4867-1825
4922,4867,1825,4142,100.0,17.0,dull-product,middle-end,dull-product;middle-end,4867-1825
4923,4867,1847,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-1847
4924,4867,1953,2789,50.0,387.0,well-seller,low-end,well-seller;low-end,4867-1953
4925,4867,2014,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-2014
4926,4867,2018,346,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-2018
4927,4867,2113,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-2113
4928,4867,2118,118,80.0,2428.0,best-seller,middle-end,best-seller;middle-end,4867-2118
4929,4867,2118,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-2118
4930,4867,2118,4103,85.0,52.0,dull-product,middle-end,dull-product;middle-end,4867-2118
4931,4867,2122,3794,100.0,432.0,well-seller,middle-end,well-seller;middle-end,4867-2122
4932,4867,2122,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-2122
4933,4867,2122,4989,100.0,1125.0,best-seller,middle-end,best-seller;middle-end,4867-2122
4934,4867,2192,346,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-2192
4935,4867,2203,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-2203
4936,4867,2203,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-2203
4937,4867,2258,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-2258
4938,4867,2261,3794,100.0,432.0,well-seller,middle-end,well-seller;middle-end,4867-2261
4939,4867,2261,4864,80.0,2578.0,best-seller,middle-end,best-seller;middle-end,4867-2261
4940,4867,2270,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-2270
4941,4867,2296,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-2296
4942,4867,2343,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-2343
4943,4867,2439,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-2439
4944,4867,2542,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-2542
4945,4867,2542,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-2542
4946,4867,2573,2575,100.0,3699.0,best-seller,middle-end,best-seller;middle-end,4867-2573
4947,4867,2573,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-2573
4948,4867,2584,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-2584
4949,4867,2584,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-2584
4950,4867,2584,4864,80.0,2578.0,best-seller,middle-end,best-seller;middle-end,4867-2584
4951,4867,2613,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-2613
4952,4867,2617,4960,80.0,3543.0,best-seller,middle-end,best-seller;middle-end,4867-2617
4953,4867,2680,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-2680
4954,4867,2716,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-2716
4955,4867,2716,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-2716
4956,4867,2716,3794,100.0,432.0,well-seller,middle-end,well-seller;middle-end,4867-2716
4957,4867,2716,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-2716
4958,4867,2716,4985,80.0,2115.0,best-seller,middle-end,best-seller;middle-end,4867-2716
4959,4867,2733,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-2733
4960,4867,2733,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-2733
4961,4867,2733,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-2733
4962,4867,2733,4989,100.0,1125.0,best-seller,middle-end,best-seller;middle-end,4867-2733
4963,4867,2775,2789,50.0,387.0,well-seller,low-end,well-seller;low-end,4867-2775
4964,4867,2801,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-2801
4965,4867,2913,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-2913
4966,4867,2913,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-2913
4967,4867,2923,4960,80.0,3543.0,best-seller,middle-end,best-seller;middle-end,4867-2923
4968,4867,2947,1045,110.0,311.0,well-seller,middle-end,well-seller;middle-end,4867-2947
4969,4867,2947,4103,85.0,52.0,dull-product,middle-end,dull-product;middle-end,4867-2947
4970,4867,2947,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-2947
4971,4867,3007,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-3007
4972,4867,3007,1871,100.0,1288.0,best-seller,middle-end,best-seller;middle-end,4867-3007
4973,4867,3007,3794,100.0,432.0,well-seller,middle-end,well-seller;middle-end,4867-3007
4974,4867,3007,4103,85.0,52.0,dull-product,middle-end,dull-product;middle-end,4867-3007
4975,4867,3007,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-3007
4976,4867,3037,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-3037
4977,4867,3049,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-3049
4978,4867,3070,2575,100.0,3699.0,best-seller,middle-end,best-seller;middle-end,4867-3070
4979,4867,3142,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-3142
4980,4867,3147,346,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-3147
4981,4867,3147,2575,100.0,3699.0,best-seller,middle-end,best-seller;middle-end,4867-3147
4982,4867,3147,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-3147
4983,4867,3147,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-3147
4984,4867,3163,3149,60.0,1018.0,best-seller,middle-end,best-seller;middle-end,4867-3163
4985,4867,3182,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-3182
4986,4867,3198,4142,100.0,17.0,dull-product,middle-end,dull-product;middle-end,4867-3198
4987,4867,3305,346,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-3305
4988,4867,3305,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-3305
4989,4867,3305,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-3305
4990,4867,3305,2789,50.0,387.0,well-seller,low-end,well-seller;low-end,4867-3305
4991,4867,3305,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-3305
4992,4867,3305,4870,68.0,2342.0,best-seller,middle-end,best-seller;middle-end,4867-3305
4993,4867,3305,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-3305
4994,4867,3365,4985,80.0,2115.0,best-seller,middle-end,best-seller;middle-end,4867-3365
4995,4867,3365,4989,100.0,1125.0,best-seller,middle-end,best-seller;middle-end,4867-3365
4996,4867,3377,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-3377
4997,4867,3377,4874,100.0,282.0,normal-product,middle-end,normal-product;middle-end,4867-3377
4998,4867,3427,2789,50.0,387.0,well-seller,low-end,well-seller;low-end,4867-3427
4999,4867,3578,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-3578
5000,4867,3578,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-3578
5001,4867,3578,4960,80.0,3543.0,best-seller,middle-end,best-seller;middle-end,4867-3578
5002,4867,3578,4979,68.0,2489.0,best-seller,middle-end,best-seller;middle-end,4867-3578
